office,district,town,ward,precinct,name,party,votes
US Senate,,Burlington,-,5,Blanks,Blanks,38
US Senate,,Burlington,-,5,All Others,All Others,5
US Senate,,Burlington,-,6,Total Votes Cast,Total Votes Cast,1754
US Senate,,Burlington,-,6,Elizabeth A. Warren,Democratic,848
US Senate,,Burlington,-,6,Geoff Diehl,Republican,803
US Senate,,Burlington,-,6,Shiva Ayyadurai,Unenrolled,62
US Senate,,Burlington,-,6,Blanks,Blanks,37
US Senate,,Burlington,-,6,All Others,All Others,4
US Senate,,Burlington,-,7,Total Votes Cast,Total Votes Cast,1723
US Senate,,Burlington,-,7,Elizabeth A. Warren,Democratic,967
US Senate,,Burlington,-,7,Geoff Diehl,Republican,667
US Senate,,Burlington,-,7,Shiva Ayyadurai,Unenrolled,68
US Senate,,Burlington,-,7,Blanks,Blanks,20
US Senate,,Burlington,-,7,All Others,All Others,1
US Senate,,Cambridge,1,1,Total Votes Cast,Total Votes Cast,1632
US Senate,,Cambridge,1,1,Elizabeth A. Warren,Democratic,1343
US Senate,,Cambridge,1,1,Geoff Diehl,Republican,212
US Senate,,Cambridge,1,1,Shiva Ayyadurai,Unenrolled,47
US Senate,,Cambridge,1,1,Blanks,Blanks,26
US Senate,,Cambridge,1,1,All Others,All Others,4
US Senate,,Cambridge,1,2,Total Votes Cast,Total Votes Cast,1290
US Senate,,Cambridge,1,2,Elizabeth A. Warren,Democratic,1075
US Senate,,Cambridge,1,2,Geoff Diehl,Republican,158
US Senate,,Cambridge,1,2,Shiva Ayyadurai,Unenrolled,44
US Senate,,Cambridge,1,2,Blanks,Blanks,10
US Senate,,Cambridge,1,2,All Others,All Others,3
US Senate,,Cambridge,1,3,Total Votes Cast,Total Votes Cast,1493
US Senate,,Cambridge,1,3,Elizabeth A. Warren,Democratic,1248
US Senate,,Cambridge,1,3,Geoff Diehl,Republican,186
US Senate,,Cambridge,1,3,Shiva Ayyadurai,Unenrolled,32
US Senate,,Cambridge,1,3,Blanks,Blanks,24
US Senate,,Cambridge,1,3,All Others,All Others,3
US Senate,,Cambridge,10,1,Total Votes Cast,Total Votes Cast,1916
US Senate,,Cambridge,10,1,Elizabeth A. Warren,Democratic,1766
US Senate,,Cambridge,10,1,Geoff Diehl,Republican,102
US Senate,,Cambridge,10,1,Shiva Ayyadurai,Unenrolled,38
US Senate,,Cambridge,10,1,Blanks,Blanks,8
US Senate,,Cambridge,10,1,All Others,All Others,2
US Senate,,Cambridge,10,2,Total Votes Cast,Total Votes Cast,1922
US Senate,,Cambridge,10,2,Elizabeth A. Warren,Democratic,1784
US Senate,,Cambridge,10,2,Geoff Diehl,Republican,89
US Senate,,Cambridge,10,2,Shiva Ayyadurai,Unenrolled,24
US Senate,,Cambridge,10,2,Blanks,Blanks,23
US Senate,,Cambridge,10,2,All Others,All Others,2
US Senate,,Cambridge,10,3,Total Votes Cast,Total Votes Cast,1530
US Senate,,Cambridge,10,3,Elizabeth A. Warren,Democratic,1406
US Senate,,Cambridge,10,3,Geoff Diehl,Republican,92
US Senate,,Cambridge,10,3,Shiva Ayyadurai,Unenrolled,27
US Senate,,Cambridge,10,3,Blanks,Blanks,4
US Senate,,Cambridge,10,3,All Others,All Others,1
US Senate,,Cambridge,11,1,Total Votes Cast,Total Votes Cast,1434
US Senate,,Cambridge,11,1,Elizabeth A. Warren,Democratic,1317
US Senate,,Cambridge,11,1,Geoff Diehl,Republican,87
US Senate,,Cambridge,11,1,Shiva Ayyadurai,Unenrolled,16
US Senate,,Cambridge,11,1,Blanks,Blanks,12
US Senate,,Cambridge,11,1,All Others,All Others,2
US Senate,,Cambridge,11,2,Total Votes Cast,Total Votes Cast,2105
US Senate,,Cambridge,11,2,Elizabeth A. Warren,Democratic,1869
US Senate,,Cambridge,11,2,Geoff Diehl,Republican,166
US Senate,,Cambridge,11,2,Shiva Ayyadurai,Unenrolled,46
US Senate,,Cambridge,11,2,Blanks,Blanks,23
US Senate,,Cambridge,11,2,All Others,All Others,1
US Senate,,Cambridge,11,3,Total Votes Cast,Total Votes Cast,1682
US Senate,,Cambridge,11,3,Elizabeth A. Warren,Democratic,1460
US Senate,,Cambridge,11,3,Geoff Diehl,Republican,159
US Senate,,Cambridge,11,3,Shiva Ayyadurai,Unenrolled,43
US Senate,,Cambridge,11,3,Blanks,Blanks,16
US Senate,,Cambridge,11,3,All Others,All Others,4
US Senate,,Cambridge,2,1,Total Votes Cast,Total Votes Cast,1204
US Senate,,Cambridge,2,1,Elizabeth A. Warren,Democratic,1122
US Senate,,Cambridge,2,1,Geoff Diehl,Republican,55
US Senate,,Cambridge,2,1,Shiva Ayyadurai,Unenrolled,15
US Senate,,Cambridge,2,1,Blanks,Blanks,12
US Senate,,Cambridge,2,1,All Others,All Others,0
US Senate,,Cambridge,2,2,Total Votes Cast,Total Votes Cast,451
US Senate,,Cambridge,2,2,Elizabeth A. Warren,Democratic,414
US Senate,,Cambridge,2,2,Geoff Diehl,Republican,17
US Senate,,Cambridge,2,2,Shiva Ayyadurai,Unenrolled,11
US Senate,,Cambridge,2,2,Blanks,Blanks,9
US Senate,,Cambridge,2,2,All Others,All Others,0
US Senate,,Cambridge,2,3,Total Votes Cast,Total Votes Cast,778
US Senate,,Cambridge,2,3,Elizabeth A. Warren,Democratic,677
US Senate,,Cambridge,2,3,Geoff Diehl,Republican,68
US Senate,,Cambridge,2,3,Shiva Ayyadurai,Unenrolled,20
US Senate,,Cambridge,2,3,Blanks,Blanks,11
US Senate,,Cambridge,2,3,All Others,All Others,2
US Senate,,Cambridge,3,1,Total Votes Cast,Total Votes Cast,1361
US Senate,,Cambridge,3,1,Elizabeth A. Warren,Democratic,1146
US Senate,,Cambridge,3,1,Geoff Diehl,Republican,154
US Senate,,Cambridge,3,1,Shiva Ayyadurai,Unenrolled,44
US Senate,,Cambridge,3,1,Blanks,Blanks,16
US Senate,,Cambridge,3,1,All Others,All Others,1
US Senate,,Cambridge,3,2,Total Votes Cast,Total Votes Cast,906
US Senate,,Cambridge,3,2,Elizabeth A. Warren,Democratic,843
US Senate,,Cambridge,3,2,Geoff Diehl,Republican,47
US Senate,,Cambridge,3,2,Shiva Ayyadurai,Unenrolled,9
US Senate,,Cambridge,3,2,Blanks,Blanks,6
US Senate,,Cambridge,3,2,All Others,All Others,1
US Senate,,Cambridge,3,2A,Total Votes Cast,Total Votes Cast,660
US Senate,,Cambridge,3,2A,Elizabeth A. Warren,Democratic,588
US Senate,,Cambridge,3,2A,Geoff Diehl,Republican,44
US Senate,,Cambridge,3,2A,Shiva Ayyadurai,Unenrolled,15
US Senate,,Cambridge,3,2A,Blanks,Blanks,12
US Senate,,Cambridge,3,2A,All Others,All Others,1
US Senate,,Cambridge,3,3,Total Votes Cast,Total Votes Cast,1298
US Senate,,Cambridge,3,3,Elizabeth A. Warren,Democratic,1191
US Senate,,Cambridge,3,3,Geoff Diehl,Republican,68
US Senate,,Cambridge,3,3,Shiva Ayyadurai,Unenrolled,23
US Senate,,Cambridge,3,3,Blanks,Blanks,15
US Senate,,Cambridge,3,3,All Others,All Others,1
US Senate,,Cambridge,4,1,Total Votes Cast,Total Votes Cast,1611
US Senate,,Cambridge,4,1,Elizabeth A. Warren,Democratic,1497
US Senate,,Cambridge,4,1,Geoff Diehl,Republican,69
US Senate,,Cambridge,4,1,Shiva Ayyadurai,Unenrolled,30
US Senate,,Cambridge,4,1,Blanks,Blanks,14
US Senate,,Cambridge,4,1,All Others,All Others,1
US Senate,,Cambridge,4,2,Total Votes Cast,Total Votes Cast,1732
US Senate,,Cambridge,4,2,Elizabeth A. Warren,Democratic,1586
US Senate,,Cambridge,4,2,Geoff Diehl,Republican,98
US Senate,,Cambridge,4,2,Shiva Ayyadurai,Unenrolled,26
US Senate,,Cambridge,4,2,Blanks,Blanks,20
US Senate,,Cambridge,4,2,All Others,All Others,2
US Senate,,Cambridge,4,3,Total Votes Cast,Total Votes Cast,545
US Senate,,Cambridge,4,3,Elizabeth A. Warren,Democratic,484
US Senate,,Cambridge,4,3,Geoff Diehl,Republican,43
US Senate,,Cambridge,4,3,Shiva Ayyadurai,Unenrolled,13
US Senate,,Cambridge,4,3,Blanks,Blanks,3
US Senate,,Cambridge,4,3,All Others,All Others,2
US Senate,,Cambridge,5,1,Total Votes Cast,Total Votes Cast,1552
US Senate,,Cambridge,5,1,Elizabeth A. Warren,Democratic,1439
US Senate,,Cambridge,5,1,Geoff Diehl,Republican,66
US Senate,,Cambridge,5,1,Blanks,Blanks,24
US Senate,,Cambridge,5,1,Shiva Ayyadurai,Unenrolled,21
US Senate,,Cambridge,5,1,All Others,All Others,2
US Senate,,Cambridge,5,2,Total Votes Cast,Total Votes Cast,1638
US Senate,,Cambridge,5,2,Elizabeth A. Warren,Democratic,1489
US Senate,,Cambridge,5,2,Geoff Diehl,Republican,106
US Senate,,Cambridge,5,2,Shiva Ayyadurai,Unenrolled,23
US Senate,,Cambridge,5,2,Blanks,Blanks,17
US Senate,,Cambridge,5,2,All Others,All Others,3
US Senate,,Cambridge,5,3,Total Votes Cast,Total Votes Cast,1234
US Senate,,Cambridge,5,3,Elizabeth A. Warren,Democratic,1128
US Senate,,Cambridge,5,3,Geoff Diehl,Republican,73
US Senate,,Cambridge,5,3,Shiva Ayyadurai,Unenrolled,27
US Senate,,Cambridge,5,3,Blanks,Blanks,6
US Senate,,Cambridge,5,3,All Others,All Others,0
US Senate,,Cambridge,6,1,Total Votes Cast,Total Votes Cast,1736
US Senate,,Cambridge,6,1,Elizabeth A. Warren,Democratic,1590
US Senate,,Cambridge,6,1,Geoff Diehl,Republican,89
US Senate,,Cambridge,6,1,Shiva Ayyadurai,Unenrolled,27
US Senate,,Cambridge,6,1,Blanks,Blanks,27
US Senate,,Cambridge,6,1,All Others,All Others,3
US Senate,,Cambridge,6,2,Total Votes Cast,Total Votes Cast,1541
US Senate,,Cambridge,6,2,Elizabeth A. Warren,Democratic,1409
US Senate,,Cambridge,6,2,Geoff Diehl,Republican,85
US Senate,,Cambridge,6,2,Blanks,Blanks,24
US Senate,,Cambridge,6,2,Shiva Ayyadurai,Unenrolled,22
US Senate,,Cambridge,6,2,All Others,All Others,1
US Senate,,Cambridge,6,3,Total Votes Cast,Total Votes Cast,1716
US Senate,,Cambridge,6,3,Elizabeth A. Warren,Democratic,1528
US Senate,,Cambridge,6,3,Geoff Diehl,Republican,140
US Senate,,Cambridge,6,3,Shiva Ayyadurai,Unenrolled,34
US Senate,,Cambridge,6,3,Blanks,Blanks,13
US Senate,,Cambridge,6,3,All Others,All Others,1
US Senate,,Cambridge,7,1,Total Votes Cast,Total Votes Cast,1657
US Senate,,Cambridge,7,1,Elizabeth A. Warren,Democratic,1553
US Senate,,Cambridge,7,1,Geoff Diehl,Republican,69
US Senate,,Cambridge,7,1,Shiva Ayyadurai,Unenrolled,22
US Senate,,Cambridge,7,1,Blanks,Blanks,10
US Senate,,Cambridge,7,1,All Others,All Others,3
US Senate,,Cambridge,7,2,Total Votes Cast,Total Votes Cast,891
US Senate,,Cambridge,7,2,Elizabeth A. Warren,Democratic,807
US Senate,,Cambridge,7,2,Geoff Diehl,Republican,60
US Senate,,Cambridge,7,2,Shiva Ayyadurai,Unenrolled,16
US Senate,,Cambridge,7,2,Blanks,Blanks,7
US Senate,,Cambridge,7,2,All Others,All Others,1
US Senate,,Cambridge,7,3,Total Votes Cast,Total Votes Cast,493
US Senate,,Cambridge,7,3,Elizabeth A. Warren,Democratic,453
US Senate,,Cambridge,7,3,Geoff Diehl,Republican,23
US Senate,,Cambridge,7,3,Shiva Ayyadurai,Unenrolled,11
US Senate,,Cambridge,7,3,Blanks,Blanks,4
US Senate,,Cambridge,7,3,All Others,All Others,2
US Senate,,Cambridge,8,1,Total Votes Cast,Total Votes Cast,1153
US Senate,,Cambridge,8,1,Elizabeth A. Warren,Democratic,1058
US Senate,,Cambridge,8,1,Geoff Diehl,Republican,59
US Senate,,Cambridge,8,1,Shiva Ayyadurai,Unenrolled,21
US Senate,,Cambridge,8,1,Blanks,Blanks,10
US Senate,,Cambridge,8,1,All Others,All Others,5
US Senate,,Cambridge,8,2,Total Votes Cast,Total Votes Cast,1214
US Senate,,Cambridge,8,2,Elizabeth A. Warren,Democratic,1096
US Senate,,Cambridge,8,2,Geoff Diehl,Republican,80
US Senate,,Cambridge,8,2,Shiva Ayyadurai,Unenrolled,23
US Senate,,Cambridge,8,2,Blanks,Blanks,11
US Senate,,Cambridge,8,2,All Others,All Others,4
US Senate,,Cambridge,8,3,Total Votes Cast,Total Votes Cast,313
US Senate,,Cambridge,8,3,Elizabeth A. Warren,Democratic,288
US Senate,,Cambridge,8,3,Geoff Diehl,Republican,15
US Senate,,Cambridge,8,3,Shiva Ayyadurai,Unenrolled,7
US Senate,,Cambridge,8,3,All Others,All Others,2
US Senate,,Cambridge,8,3,Blanks,Blanks,1
US Senate,,Cambridge,9,1,Total Votes Cast,Total Votes Cast,2017
US Senate,,Cambridge,9,1,Elizabeth A. Warren,Democratic,1782
US Senate,,Cambridge,9,1,Geoff Diehl,Republican,166
US Senate,,Cambridge,9,1,Shiva Ayyadurai,Unenrolled,38
US Senate,,Cambridge,9,1,Blanks,Blanks,26
US Senate,,Cambridge,9,1,All Others,All Others,5
US Senate,,Cambridge,9,2,Total Votes Cast,Total Votes Cast,2028
US Senate,,Cambridge,9,2,Elizabeth A. Warren,Democratic,1751
US Senate,,Cambridge,9,2,Geoff Diehl,Republican,205
US Senate,,Cambridge,9,2,Shiva Ayyadurai,Unenrolled,48
US Senate,,Cambridge,9,2,Blanks,Blanks,22
US Senate,,Cambridge,9,2,All Others,All Others,2
US Senate,,Cambridge,9,3,Total Votes Cast,Total Votes Cast,1657
US Senate,,Cambridge,9,3,Elizabeth A. Warren,Democratic,1402
US Senate,,Cambridge,9,3,Geoff Diehl,Republican,193
US Senate,,Cambridge,9,3,Shiva Ayyadurai,Unenrolled,45
US Senate,,Cambridge,9,3,Blanks,Blanks,14
US Senate,,Cambridge,9,3,All Others,All Others,3
US Senate,,Canton,-,1,Total Votes Cast,Total Votes Cast,1666
US Senate,,Canton,-,1,Elizabeth A. Warren,Democratic,936
US Senate,,Canton,-,1,Geoff Diehl,Republican,645
US Senate,,Canton,-,1,Shiva Ayyadurai,Unenrolled,65
US Senate,,Canton,-,1,Blanks,Blanks,19
US Senate,,Canton,-,1,All Others,All Others,1
US Senate,,Canton,-,2,Total Votes Cast,Total Votes Cast,1980
US Senate,,Canton,-,2,Elizabeth A. Warren,Democratic,1108
US Senate,,Canton,-,2,Geoff Diehl,Republican,799
US Senate,,Canton,-,2,Shiva Ayyadurai,Unenrolled,44
US Senate,,Canton,-,2,Blanks,Blanks,29
US Senate,,Canton,-,2,All Others,All Others,0
US Senate,,Canton,-,3,Total Votes Cast,Total Votes Cast,1721
US Senate,,Canton,-,3,Elizabeth A. Warren,Democratic,922
US Senate,,Canton,-,3,Geoff Diehl,Republican,708
US Senate,,Canton,-,3,Shiva Ayyadurai,Unenrolled,60
US Senate,,Canton,-,3,Blanks,Blanks,29
US Senate,,Canton,-,3,All Others,All Others,2
US Senate,,Canton,-,4,Total Votes Cast,Total Votes Cast,2150
US Senate,,Canton,-,4,Elizabeth A. Warren,Democratic,1042
US Senate,,Canton,-,4,Geoff Diehl,Republican,997
US Senate,,Canton,-,4,Shiva Ayyadurai,Unenrolled,76
US Senate,,Canton,-,4,Blanks,Blanks,33
US Senate,,Canton,-,4,All Others,All Others,2
US Senate,,Canton,-,5,Total Votes Cast,Total Votes Cast,1898
US Senate,,Canton,-,5,Elizabeth A. Warren,Democratic,998
US Senate,,Canton,-,5,Geoff Diehl,Republican,816
US Senate,,Canton,-,5,Shiva Ayyadurai,Unenrolled,59
US Senate,,Canton,-,5,Blanks,Blanks,24
US Senate,,Canton,-,5,All Others,All Others,1
US Senate,,Canton,-,6,Total Votes Cast,Total Votes Cast,1663
US Senate,,Canton,-,6,Elizabeth A. Warren,Democratic,909
US Senate,,Canton,-,6,Geoff Diehl,Republican,676
US Senate,,Canton,-,6,Shiva Ayyadurai,Unenrolled,45
US Senate,,Canton,-,6,Blanks,Blanks,32
US Senate,,Canton,-,6,All Others,All Others,1
US Senate,,Carlisle,-,1,Total Votes Cast,Total Votes Cast,2989
US Senate,,Carlisle,-,1,Elizabeth A. Warren,Democratic,2008
US Senate,,Carlisle,-,1,Geoff Diehl,Republican,843
US Senate,,Carlisle,-,1,Shiva Ayyadurai,Unenrolled,82
US Senate,,Carlisle,-,1,Blanks,Blanks,54
US Senate,,Carlisle,-,1,All Others,All Others,2
US Senate,,Carver,-,1,Total Votes Cast,Total Votes Cast,1649
US Senate,,Carver,-,1,Geoff Diehl,Republican,945
US Senate,,Carver,-,1,Elizabeth A. Warren,Democratic,617
US Senate,,Carver,-,1,Shiva Ayyadurai,Unenrolled,54
US Senate,,Carver,-,1,Blanks,Blanks,33
US Senate,,Carver,-,1,All Others,All Others,0
US Senate,,Carver,-,2,Total Votes Cast,Total Votes Cast,1584
US Senate,,Carver,-,2,Geoff Diehl,Republican,849
US Senate,,Carver,-,2,Elizabeth A. Warren,Democratic,653
US Senate,,Carver,-,2,Shiva Ayyadurai,Unenrolled,60
US Senate,,Carver,-,2,Blanks,Blanks,21
US Senate,,Carver,-,2,All Others,All Others,1
US Senate,,Carver,-,3,Total Votes Cast,Total Votes Cast,1836
US Senate,,Carver,-,3,Geoff Diehl,Republican,990
US Senate,,Carver,-,3,Elizabeth A. Warren,Democratic,763
US Senate,,Carver,-,3,Shiva Ayyadurai,Unenrolled,55
US Senate,,Carver,-,3,Blanks,Blanks,26
US Senate,,Carver,-,3,All Others,All Others,2
US Senate,,Charlemont,-,1,Total Votes Cast,Total Votes Cast,593
US Senate,,Charlemont,-,1,Elizabeth A. Warren,Democratic,361
US Senate,,Charlemont,-,1,Geoff Diehl,Republican,177
US Senate,,Charlemont,-,1,Shiva Ayyadurai,Unenrolled,40
US Senate,,Charlemont,-,1,Blanks,Blanks,15
US Senate,,Charlemont,-,1,All Others,All Others,0
US Senate,,Charlton,-,1,Total Votes Cast,Total Votes Cast,1408
US Senate,,Charlton,-,1,Geoff Diehl,Republican,781
US Senate,,Charlton,-,1,Elizabeth A. Warren,Democratic,537
US Senate,,Charlton,-,1,Shiva Ayyadurai,Unenrolled,73
US Senate,,Charlton,-,1,Blanks,Blanks,17
US Senate,,Charlton,-,1,All Others,All Others,0
US Senate,,Charlton,-,2,Total Votes Cast,Total Votes Cast,1535
US Senate,,Charlton,-,2,Geoff Diehl,Republican,918
US Senate,,Charlton,-,2,Elizabeth A. Warren,Democratic,527
US Senate,,Charlton,-,2,Shiva Ayyadurai,Unenrolled,71
US Senate,,Charlton,-,2,Blanks,Blanks,18
US Senate,,Charlton,-,2,All Others,All Others,1
US Senate,,Charlton,-,3,Total Votes Cast,Total Votes Cast,1496
US Senate,,Charlton,-,3,Geoff Diehl,Republican,833
US Senate,,Charlton,-,3,Elizabeth A. Warren,Democratic,584
US Senate,,Charlton,-,3,Shiva Ayyadurai,Unenrolled,66
US Senate,,Charlton,-,3,Blanks,Blanks,10
US Senate,,Charlton,-,3,All Others,All Others,3
US Senate,,Charlton,-,4,Total Votes Cast,Total Votes Cast,1402
US Senate,,Charlton,-,4,Geoff Diehl,Republican,792
US Senate,,Charlton,-,4,Elizabeth A. Warren,Democratic,506
US Senate,,Charlton,-,4,Shiva Ayyadurai,Unenrolled,85
US Senate,,Charlton,-,4,Blanks,Blanks,18
US Senate,,Charlton,-,4,All Others,All Others,1
US Senate,,Chatham,-,1,Total Votes Cast,Total Votes Cast,4114
US Senate,,Chatham,-,1,Elizabeth A. Warren,Democratic,2107
US Senate,,Chatham,-,1,Geoff Diehl,Republican,1862
US Senate,,Chatham,-,1,Shiva Ayyadurai,Unenrolled,108
US Senate,,Chatham,-,1,Blanks,Blanks,31
US Senate,,Chatham,-,1,All Others,All Others,6
US Senate,,Chelmsford,-,1,Total Votes Cast,Total Votes Cast,1889
US Senate,,Chelmsford,-,1,Elizabeth A. Warren,Democratic,1018
US Senate,,Chelmsford,-,1,Geoff Diehl,Republican,755
US Senate,,Chelmsford,-,1,Shiva Ayyadurai,Unenrolled,72
US Senate,,Chelmsford,-,1,Blanks,Blanks,40
US Senate,,Chelmsford,-,1,All Others,All Others,4
US Senate,,Chelmsford,-,2,Total Votes Cast,Total Votes Cast,1667
US Senate,,Chelmsford,-,2,Elizabeth A. Warren,Democratic,955
US Senate,,Chelmsford,-,2,Geoff Diehl,Republican,610
US Senate,,Chelmsford,-,2,Shiva Ayyadurai,Unenrolled,72
US Senate,,Chelmsford,-,2,Blanks,Blanks,29
US Senate,,Chelmsford,-,2,All Others,All Others,1
US Senate,,Chelmsford,-,3,Total Votes Cast,Total Votes Cast,1852
US Senate,,Chelmsford,-,3,Elizabeth A. Warren,Democratic,903
US Senate,,Chelmsford,-,3,Geoff Diehl,Republican,840
US Senate,,Chelmsford,-,3,Shiva Ayyadurai,Unenrolled,77
US Senate,,Chelmsford,-,3,Blanks,Blanks,29
US Senate,,Chelmsford,-,3,All Others,All Others,3
US Senate,,Chelmsford,-,4,Total Votes Cast,Total Votes Cast,1719
US Senate,,Chelmsford,-,4,Elizabeth A. Warren,Democratic,846
US Senate,,Chelmsford,-,4,Geoff Diehl,Republican,782
US Senate,,Chelmsford,-,4,Shiva Ayyadurai,Unenrolled,63
US Senate,,Chelmsford,-,4,Blanks,Blanks,27
US Senate,,Chelmsford,-,4,All Others,All Others,1
US Senate,,Chelmsford,-,5,Total Votes Cast,Total Votes Cast,1857
US Senate,,Chelmsford,-,5,Elizabeth A. Warren,Democratic,1019
US Senate,,Chelmsford,-,5,Geoff Diehl,Republican,736
US Senate,,Chelmsford,-,5,Shiva Ayyadurai,Unenrolled,77
US Senate,,Chelmsford,-,5,Blanks,Blanks,24
US Senate,,Chelmsford,-,5,All Others,All Others,1
US Senate,,Chelmsford,-,6,Total Votes Cast,Total Votes Cast,2012
US Senate,,Chelmsford,-,6,Elizabeth A. Warren,Democratic,1059
US Senate,,Chelmsford,-,6,Geoff Diehl,Republican,840
US Senate,,Chelmsford,-,6,Shiva Ayyadurai,Unenrolled,69
US Senate,,Chelmsford,-,6,Blanks,Blanks,43
US Senate,,Chelmsford,-,6,All Others,All Others,1
US Senate,,Chelmsford,-,7,Total Votes Cast,Total Votes Cast,2115
US Senate,,Chelmsford,-,7,Elizabeth A. Warren,Democratic,1080
US Senate,,Chelmsford,-,7,Geoff Diehl,Republican,920
US Senate,,Chelmsford,-,7,Shiva Ayyadurai,Unenrolled,72
US Senate,,Chelmsford,-,7,Blanks,Blanks,41
US Senate,,Chelmsford,-,7,All Others,All Others,2
US Senate,,Chelmsford,-,8,Total Votes Cast,Total Votes Cast,1912
US Senate,,Chelmsford,-,8,Elizabeth A. Warren,Democratic,1040
US Senate,,Chelmsford,-,8,Geoff Diehl,Republican,768
US Senate,,Chelmsford,-,8,Shiva Ayyadurai,Unenrolled,68
US Senate,,Chelmsford,-,8,Blanks,Blanks,36
US Senate,,Chelmsford,-,8,All Others,All Others,0
US Senate,,Chelmsford,-,9,Total Votes Cast,Total Votes Cast,2032
US Senate,,Chelmsford,-,9,Elizabeth A. Warren,Democratic,1086
US Senate,,Chelmsford,-,9,Geoff Diehl,Republican,835
US Senate,,Chelmsford,-,9,Shiva Ayyadurai,Unenrolled,77
US Senate,,Chelmsford,-,9,Blanks,Blanks,33
US Senate,,Chelmsford,-,9,All Others,All Others,1
US Senate,,Chelsea,1,1,Total Votes Cast,Total Votes Cast,374
US Senate,,Chelsea,1,1,Elizabeth A. Warren,Democratic,298
US Senate,,Chelsea,1,1,Geoff Diehl,Republican,63
US Senate,,Chelsea,1,1,Shiva Ayyadurai,Unenrolled,11
US Senate,,Chelsea,1,1,Blanks,Blanks,2
US Senate,,Chelsea,1,1,All Others,All Others,0
US Senate,,Chelsea,1,2,Total Votes Cast,Total Votes Cast,214
US Senate,,Chelsea,1,2,Elizabeth A. Warren,Democratic,176
US Senate,,Chelsea,1,2,Geoff Diehl,Republican,30
US Senate,,Chelsea,1,2,Shiva Ayyadurai,Unenrolled,4
US Senate,,Chelsea,1,2,Blanks,Blanks,4
US Senate,,Chelsea,1,2,All Others,All Others,0
US Senate,,Chelsea,1,3,Total Votes Cast,Total Votes Cast,303
US Senate,,Chelsea,1,3,Elizabeth A. Warren,Democratic,257
US Senate,,Chelsea,1,3,Geoff Diehl,Republican,30
US Senate,,Chelsea,1,3,Shiva Ayyadurai,Unenrolled,8
US Senate,,Chelsea,1,3,Blanks,Blanks,8
US Senate,,Chelsea,1,3,All Others,All Others,0
US Senate,,Chelsea,1,4,Total Votes Cast,Total Votes Cast,291
US Senate,,Chelsea,1,4,Elizabeth A. Warren,Democratic,264
US Senate,,Chelsea,1,4,Geoff Diehl,Republican,16
US Senate,,Chelsea,1,4,Shiva Ayyadurai,Unenrolled,6
US Senate,,Chelsea,1,4,Blanks,Blanks,5
US Senate,,Chelsea,1,4,All Others,All Others,0
US Senate,,Chelsea,2,1,Total Votes Cast,Total Votes Cast,953
US Senate,,Chelsea,2,1,Elizabeth A. Warren,Democratic,679
US Senate,,Chelsea,2,1,Geoff Diehl,Republican,233
US Senate,,Chelsea,2,1,Shiva Ayyadurai,Unenrolled,27
US Senate,,Chelsea,2,1,Blanks,Blanks,14
US Senate,,Chelsea,2,1,All Others,All Others,0
US Senate,,Chelsea,2,2,Total Votes Cast,Total Votes Cast,528
US Senate,,Chelsea,2,2,Elizabeth A. Warren,Democratic,433
US Senate,,Chelsea,2,2,Geoff Diehl,Republican,66
US Senate,,Chelsea,2,2,Blanks,Blanks,18
US Senate,,Chelsea,2,2,Shiva Ayyadurai,Unenrolled,11
US Senate,,Chelsea,2,2,All Others,All Others,0
US Senate,,Chelsea,2,3,Total Votes Cast,Total Votes Cast,205
US Senate,,Chelsea,2,3,Elizabeth A. Warren,Democratic,177
US Senate,,Chelsea,2,3,Geoff Diehl,Republican,21
US Senate,,Chelsea,2,3,Shiva Ayyadurai,Unenrolled,6
US Senate,,Chelsea,2,3,Blanks,Blanks,1
US Senate,,Chelsea,2,3,All Others,All Others,0
US Senate,,Chelsea,2,4,Total Votes Cast,Total Votes Cast,340
US Senate,,Chelsea,2,4,Elizabeth A. Warren,Democratic,282
US Senate,,Chelsea,2,4,Geoff Diehl,Republican,36
US Senate,,Chelsea,2,4,Blanks,Blanks,15
US Senate,,Chelsea,2,4,Shiva Ayyadurai,Unenrolled,7
US Senate,,Chelsea,2,4,All Others,All Others,0
US Senate,,Chelsea,3,1,Total Votes Cast,Total Votes Cast,326
US Senate,,Chelsea,3,1,Elizabeth A. Warren,Democratic,267
US Senate,,Chelsea,3,1,Geoff Diehl,Republican,41
US Senate,,Chelsea,3,1,Blanks,Blanks,10
US Senate,,Chelsea,3,1,Shiva Ayyadurai,Unenrolled,8
US Senate,,Chelsea,3,1,All Others,All Others,0
US Senate,,Chelsea,3,2,Total Votes Cast,Total Votes Cast,485
US Senate,,Chelsea,3,2,Elizabeth A. Warren,Democratic,405
US Senate,,Chelsea,3,2,Geoff Diehl,Republican,59
US Senate,,Chelsea,3,2,Shiva Ayyadurai,Unenrolled,12
US Senate,,Chelsea,3,2,Blanks,Blanks,9
US Senate,,Chelsea,3,2,All Others,All Others,0
US Senate,,Chelsea,3,3,Total Votes Cast,Total Votes Cast,387
US Senate,,Chelsea,3,3,Elizabeth A. Warren,Democratic,302
US Senate,,Chelsea,3,3,Geoff Diehl,Republican,57
US Senate,,Chelsea,3,3,Shiva Ayyadurai,Unenrolled,15
US Senate,,Chelsea,3,3,Blanks,Blanks,13
US Senate,,Chelsea,3,3,All Others,All Others,0
